loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,62,,36.93,,24.00,27/05/2026 08:39
JK Peças,380,,80.19,,20.00,27/05/2026 08:39
JK Peças,368,,90.78,,24.00,27/05/2026 08:39
JK Peças,32-K,,199.27,,24.00,27/05/2026 08:39
JK Peças,37,,23.98,,24.00,27/05/2026 08:39
JK Peças,59,,21.56,,24.00,27/05/2026 08:39
JK Peças,99,,18.16,,24.00,27/05/2026 08:39
JK Peças,107,,29.60,,24.00,27/05/2026 08:39
JK Peças,115,,14.84,,20.00,27/05/2026 08:39
JK Peças,99-1,,17.99,,24.00,27/05/2026 08:39
JK Peças,27-K,,25.58,,24.00,27/05/2026 08:39
JK Peças,27-2,,11.70,,24.00,27/05/2026 08:39
JK Peças,27-1,,12.79,,24.00,27/05/2026 08:39
JK Peças,116,,16.43,,20.00,27/05/2026 08:39
JK Peças,124,,17.16,,24.00,27/05/2026 08:39
JK Peças,124-1,,11.80,,24.00,27/05/2026 08:39
JK Peças,167-K,,6.02,,20.00,27/05/2026 08:39
JK Peças,167,,3.01,,20.00,27/05/2026 08:39
JK Peças,100,,11.08,,24.00,27/05/2026 08:39
JK Peças,176,,60.21,,24.00,27/05/2026 08:39
JK Peças,181,,40.78,,24.00,27/05/2026 08:39
JK Peças,189-K,,45.95,,24.00,27/05/2026 08:39
JK Peças,189-2,,22.97,,24.00,27/05/2026 08:39
JK Peças,189-1,,22.97,,24.00,27/05/2026 08:39
JK Peças,223,,43.82,,24.00,27/05/2026 08:39
JK Peças,79,,28.39,,24.00,27/05/2026 08:39
JK Peças,78,,28.80,,24.00,27/05/2026 08:39
JK Peças,245,,38.12,,24.00,27/05/2026 08:39
JK Peças,254-1,,201.39,,20.00,27/05/2026 08:39
JK Peças,286,,30.30,,20.00,27/05/2026 08:39
JK Peças,344-K,,267.18,,24.00,27/05/2026 08:39
JK Peças,344,,131.78,,24.00,27/05/2026 08:39
JK Peças,354,,44.16,,24.00,27/05/2026 08:39
JK Peças,382,,34.33,,20.00,27/05/2026 08:39
JK Peças,384,,116.99,,24.00,27/05/2026 08:39
JK Peças,299-2,,29.35,,24.00,27/05/2026 08:39
JK Peças,392-K,,80.99,,24.00,27/05/2026 08:39
JK Peças,392-2,,40.50,,24.00,27/05/2026 08:39
JK Peças,392-1,,40.50,,24.00,27/05/2026 08:39
JK Peças,170-K4,,66.92,,24.00,27/05/2026 08:39
JK Peças,396,,8.27,,24.00,27/05/2026 08:39
JK Peças,19-1,,26.12,,24.00,27/05/2026 08:39
JK Peças,397,,9.54,,24.00,27/05/2026 08:39
JK Peças,410,,22.04,,20.00,27/05/2026 08:39
JK Peças,412-4,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-3,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-2,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-1,,149.46,,24.00,27/05/2026 08:39
JK Peças,353,,52.41,,24.00,27/05/2026 08:39
JK Peças,416,,65.32,,24.00,27/05/2026 08:39
JK Peças,256,,18.83,,24.00,27/05/2026 08:39
JK Peças,320,,42.34,,24.00,27/05/2026 08:39
JK Peças,46,,24.20,,20.00,27/05/2026 08:39
JK Peças,195-K,,38.08,,24.00,27/05/2026 08:39
JK Peças,425-1,,69.96,,20.00,27/05/2026 08:39
JK Peças,195,,19.04,,24.00,27/05/2026 08:39
JK Peças,425,,68.52,,20.00,27/05/2026 08:39
JK Peças,426-2,,23.38,,20.00,27/05/2026 08:39
JK Peças,426-1,,23.38,,20.00,27/05/2026 08:39
JK Peças,426-K,,44.34,,20.00,27/05/2026 08:39
JK Peças,82-K,,38.23,,24.00,27/05/2026 08:39
JK Peças,291-1,,297.44,,24.00,27/05/2026 08:39
JK Peças,82,,18.97,,24.00,27/05/2026 08:39
JK Peças,276,,53.28,,24.00,27/05/2026 08:39
JK Peças,427,,22.59,,24.00,27/05/2026 08:39
JK Peças,437,,23.04,,20.00,27/05/2026 08:39
JK Peças,81-K,,38.23,,24.00,27/05/2026 08:39
JK Peças,81,,19.48,,24.00,27/05/2026 08:39
JK Peças,428-K,,23.18,,24.00,27/05/2026 08:39
JK Peças,428-1,,11.59,,24.00,27/05/2026 08:39
